DATE,AWND,PRCP,TMAX,TMIN,TOBS,BEAUFORT_SCALE,PRCP_SCALE,MEAN_TEMP
2018-06-08,2.6750000000000003,0.003846153846153846,25.357142857142858,13.214285714285712,14.219999999999999,Light Breeze,Slight,17.597142857142856
2018-06-09,2.3124999999999996,0.0,27.778571428571432,16.96923076923077,18.875,Light Breeze,Slight,21.207600732600735
2018-06-10,1.8625,0.29078947368421054,24.246153846153845,15.841666666666667,18.475,Light Breeze,Slight,19.52094017094017
2018-06-11,2.7125000000000004,3.961176470588235,21.546153846153842,13.323076923076922,14.333333333333336,Light Breeze,Slight,16.4008547008547
2018-06-12,3.2750000000000004,0.2804878048780488,22.907142857142855,10.76923076923077,12.600000000000001,Light Breeze,Slight,15.425457875457875
2018-06-13,3.2125,0.25529411764705884,24.64285714285714,14.5,16.950000000000003,Light Breeze,Slight,18.697619047619046
2018-06-14,5.6,1.3523809523809522,27.307692307692307,18.415384615384617,19.46,Moderate Breeze,Slight,21.72769230769231
2018-06-15,3.7750000000000004,0.007792207792207792,26.376923076923074,16.008333333333333,16.525,Gentle Breeze,Slight,19.636752136752133
2018-06-16,2.4750000000000005,0.0,27.733333333333327,14.808333333333332,15.975,Light Breeze,Slight,19.505555555555553
2018-06-17,2.325,0.0,31.258333333333333,15.966666666666669,17.03333333333333,Light Breeze,Slight,21.41944444444444
2018-06-18,4.325,0.38641975308641974,32.34615384615384,19.26153846153846,20.9,Gentle Breeze,Slight,24.16923076923077
2018-06-19,3.8,5.287640449438203,31.884615384615383,21.615384615384617,24.440000000000005,Gentle Breeze,Slight,25.98
2018-06-20,2.4,0.17721518987341772,29.450000000000003,18.624999999999996,18.75,Light Breeze,Slight,22.275000000000002
2018-06-21,2.5875000000000004,9.283333333333333,29.146153846153847,18.10769230769231,18.419999999999998,Light Breeze,Slight,21.89128205128205
2018-06-22,3.8125,0.47564102564102567,25.60833333333333,17.441666666666663,19.15,Gentle Breeze,Slight,20.73333333333333
2018-06-23,3.0125,1.3142857142857143,20.966666666666665,16.441666666666666,16.833333333333332,Light Breeze,Slight,18.080555555555552
2018-06-24,2.85,0.5533333333333333,25.89166666666667,17.683333333333334,19.26666666666667,Light Breeze,Slight,20.947222222222223
2018-06-25,4.3375,3.8651162790697673,28.461538461538467,17.815384615384616,19.759999999999998,Gentle Breeze,Slight,22.01230769230769
2018-06-26,3.6999999999999993,0.004054054054054054,25.700000000000003,14.776923076923078,16.34,Gentle Breeze,Slight,18.93897435897436
2018-06-27,3.8000000000000003,0.08765432098765431,24.323076923076922,16.45384615384615,16.779999999999998,Gentle Breeze,Slight,19.185641025641022
2018-06-28,3.2124999999999995,13.142696629213484,26.428571428571427,19.400000000000002,20.283333333333335,Light Breeze,Slight,22.037301587301588
2018-06-29,2.8625000000000003,7.466666666666667,31.02307692307692,20.233333333333334,20.825,Light Breeze,Slight,24.02713675213675
2018-06-30,2.25,0.02,32.138461538461534,20.283333333333335,22.600000000000005,Light Breeze,Slight,25.00726495726496
2018-07-01,1.9625000000000001,0.0,35.36666666666667,23.01666666666667,24.833333333333332,Light Breeze,Slight,27.73888888888889
2018-07-02,2.4124999999999996,0.0,35.04615384615385,22.853846153846153,23.12,Light Breeze,Slight,27.00666666666667
2018-07-03,1.85,1.4975903614457833,34.06153846153846,23.750000000000004,25.25,Light Breeze,Slight,27.68717948717949
2018-07-04,1.8625,8.810843373493976,32.36666666666667,23.791666666666668,25.2,Light Breeze,Slight,27.119444444444444
2018-07-05,3.6625,0.5686746987951806,32.03333333333334,23.415384615384617,24.2,Gentle Breeze,Slight,26.549572649572653
2018-07-06,4.3125,4.632098765432098,29.823076923076922,21.330769230769228,24.68,Gentle Breeze,Slight,25.277948717948714
2018-07-07,3.6374999999999997,2.509210526315789,25.883333333333336,15.600000000000001,15.933333333333332,Gentle Breeze,Slight,19.13888888888889
2018-07-08,2.0625,0.003896103896103896,27.424999999999997,14.399999999999999,16.666666666666668,Light Breeze,Slight,19.49722222222222
2018-07-09,2.8125,0.006493506493506494,30.275000000000002,16.575,17.625,Light Breeze,Slight,21.491666666666664
2018-07-10,2.8874999999999997,0.0,33.10833333333333,18.974999999999998,19.599999999999998,Light Breeze,Slight,23.894444444444442
2018-07-11,3.375,0.006493506493506494,31.88461538461538,21.25,22.075,Light Breeze,Slight,25.06987179487179
2018-07-12,2.2624999999999997,1.1580246913580245,29.524999999999995,19.258333333333333,20.15,Light Breeze,Slight,22.977777777777778
2018-07-13,2.5250000000000004,0.0,29.633333333333336,17.783333333333335,17.675,Light Breeze,Slight,21.697222222222223
2018-07-14,3.500000000000001,0.5923076923076923,31.400000000000002,19.216666666666665,21.46666666666667,Gentle Breeze,Slight,24.027777777777782
2018-07-15,2.5875,16.23658536585366,30.566666666666663,20.76666666666667,21.133333333333333,Light Breeze,Slight,24.155555555555555
2018-07-16,2.8874999999999997,3.062025316455696,31.89999999999999,21.908333333333335,22.0,Light Breeze,Slight,25.269444444444442
2018-07-17,3.3875000000000006,4.250649350649351,32.0,21.708333333333332,25.0,Light Breeze,Slight,26.23611111111111
2018-07-18,4.1,22.081176470588236,30.45,18.841666666666665,19.175,Gentle Breeze,Slight,22.822222222222223
2018-07-19,2.6125000000000003,0.0189873417721519,28.75,16.625,16.8,Light Breeze,Slight,20.724999999999998
2018-07-20,2.5999999999999996,0.0,28.253846153846155,17.43076923076923,18.22,Light Breeze,Slight,21.30153846153846
2018-07-21,4.8625,2.118666666666667,26.73846153846154,17.52307692307692,19.066666666666666,Gentle Breeze,Slight,21.10940170940171
2018-07-22,6.1625000000000005,25.379310344827587,26.916666666666668,19.958333333333332,22.066666666666666,Moderate Breeze,Slight,22.980555555555554
2018-07-23,5.7875,11.491011235955057,28.133333333333336,22.741666666666664,23.779999999999994,Moderate Breeze,Slight,24.885
2018-07-24,6.000000000000001,3.2729411764705882,28.70769230769231,23.699999999999996,24.319999999999997,Moderate Breeze,Slight,25.57589743589743
2018-07-25,4.8,14.544565217391304,27.50769230769231,22.138461538461538,23.1,Gentle Breeze,Slight,24.24871794871795
2018-07-26,2.8625,17.1875,29.25,22.03333333333333,22.1,Light Breeze,Slight,24.46111111111111
2018-07-27,2.575,3.1164556962025314,31.02307692307693,20.215384615384615,21.32,Light Breeze,Slight,24.186153846153847
2018-07-28,1.8374999999999997,14.474390243902437,30.558333333333337,20.041666666666668,20.366666666666667,Light Breeze,Slight,23.655555555555555
2018-07-29,2.8,0.5041666666666667,29.00769230769231,20.233333333333334,20.566666666666666,Light Breeze,Slight,23.26923076923077
2018-07-30,1.9375,0.3394736842105263,27.54166666666667,18.423076923076923,17.78,Light Breeze,Slight,21.248247863247865
2018-07-31,2.5375,0.03424657534246575,27.099999999999998,18.733333333333334,19.725,Light Breeze,Slight,21.852777777777778
2018-08-01,4.3375,1.848780487804878,29.700000000000003,21.546153846153842,22.32,Gentle Breeze,Slight,24.52205128205128
2018-08-02,3.6500000000000004,6.375308641975308,30.76153846153846,22.815384615384612,23.220000000000002,Gentle Breeze,Slight,25.59897435897436
