name,lat,lon
Staten Island,40.58085750415699,-74.15336795849198
Queens,40.707452743934745,-73.81847451263806
Brooklyn,40.64448554472503,-73.94656654524768
Manhattan,40.777275051657625,-73.96716037039826
Bronx,40.85262622454664,-73.86652746420741
