DATE,AWND,PRCP,TMAX,TMIN,TOBS,BEAUFORT_SCALE,PRCP_SCALE,MEAN_TEMP,COLLISION COUNT,TEMP_SCALE,CASES_COUNT
2018-06-01,1.625,4.354761904761905,24.92142857142857,17.37142857142857,18.683333333333334,Light Breeze,Slight,20.325396825396822,751,"[20, 22)",1
2018-06-02,3.4875000000000003,5.296296296296297,29.330769230769228,18.8,21.825,Gentle Breeze,Slight,23.318589743589744,622,"[22, 24)",1
2018-06-03,4.999999999999999,6.153164556962025,23.799999999999997,12.353846153846153,15.125,Gentle Breeze,Slight,17.092948717948715,525,"[16, 18)",1
2018-06-04,2.8875,13.22325581395349,20.700000000000003,10.392307692307693,10.75,Light Breeze,Slight,13.9474358974359,698,"[12, 14)",1
2018-06-05,3.4875000000000007,0.8012658227848101,23.092857142857135,11.5,13.23333333333333,Gentle Breeze,Slight,15.942063492063491,688,"[14, 16)",1
2018-06-06,2.5375,0.7822784810126582,22.15,12.815384615384614,14.050000000000004,Light Breeze,Slight,16.33846153846154,651,"[16, 18)",1
2018-06-07,2.9375,0.0210526315789473,21.11428571428571,14.20714285714286,14.783333333333331,Light Breeze,Slight,16.7015873015873,693,"[16, 18)",1
2018-06-08,2.6750000000000003,0.0038461538461538,25.357142857142858,13.214285714285712,14.22,Light Breeze,Slight,17.597142857142856,757,"[16, 18)",1
2018-06-09,2.3125,0.0,27.778571428571432,16.96923076923077,18.875,Light Breeze,Slight,21.20760073260073,706,"[20, 22)",1
2018-06-10,1.8625,0.2907894736842105,24.246153846153845,15.841666666666669,18.475,Light Breeze,Slight,19.52094017094017,533,"[18, 20)",1
2018-06-11,2.7125000000000004,3.961176470588235,21.54615384615384,13.323076923076922,14.333333333333336,Light Breeze,Slight,16.4008547008547,686,"[16, 18)",1
2018-06-12,3.2750000000000004,0.2804878048780488,22.90714285714285,10.76923076923077,12.6,Light Breeze,Slight,15.425457875457877,720,"[14, 16)",1
2018-06-13,3.2125,0.2552941176470588,24.64285714285714,14.5,16.950000000000003,Light Breeze,Slight,18.69761904761905,706,"[18, 20)",1
